A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "A sensação de insegurança e a debilidade de o poder público eram sem dúvida características de os Estados Unidos de o final de o século 18 , quando ( segundo a versão mais aceita ) a palavra teria sido inventada a partir de a prática adotada por um juiz Lynch , de condenar e executar seus adversários sem o devido processo legal .", usando o formato (token dependente -> token cabeça).
REPLY|:|(sensação -> de)
(insegurança -> de)
(poder -> público)
(público -> de)
(eram -> características)
(características -> sensação)
(características -> debilidade)
(debilidade -> de)
(poder -> público)
(público -> de)
(final -> século)
(século -> de)
(18 -> século)
(18 -> de)
(Estados -> Unidos)
(Unidos -> de)
(final -> 18)
(versão -> segundo)
(versão -> aceita)
(seu -> palavra)
(teria -> sido)
(sido -> inventada)
(inventada -> palavra)
(palavra -> partir)
(prática -> adotada)
(adotada -> partir)
(Lynch -> juiz)
(Lynch -> um)
(juiz -> condenar)
(juiz -> executar)
(adversários -> execuçãolhe)
(processo -> legal)
(devido -> processo)
(processo -> legal)
(-> processo)
REFINE [18)]
REFINE [18)]
REFINE [18]
-----------END REFINE---------
REFINE [(versão]
REFINE [(versão]
REFINE [(versão]
REFINE [(versão]
REFINE [versão]
REFINE [versão]
-----------END REFINE---------
REFINE [segundo)]
REFINE [segundo)]
REFINE [segundo)]
REFINE [segundo)]
REFINE [segundo]
-----------END REFINE---------
REFINE [(versão]
REFINE [(versão]
REFINE [(versão]
REFINE [(versão]
REFINE [versão]
REFINE [versão]
-----------END REFINE---------
REFINE [aceita)]
REFINE [aceita)]
REFINE [aceita)]
REFINE [aceita)]
REFINE [aceita]
-----------END REFINE---------
REFINE [(seu]
REFINE [(seu]
REFINE [(seu]
REFINE [(seu]
REFINE [seu]
REFINE [seu]
-----------END REFINE---------
REFINE [palavra)]
REFINE [palavra)]
REFINE [palavra)]
REFINE [palavra)]
REFINE [palavra]
-----------END REFINE---------
REFINE [(teria]
REFINE [(teria]
REFINE [(teria]
REFINE [(teria]
REFINE [teria]
REFINE [teria]
-----------END REFINE---------
REFINE [sido)]
REFINE [sido)]
REFINE [sido)]
REFINE [sido)]
REFINE [sido]
-----------END REFINE---------
REFINE [(sido]
REFINE [(sido]
REFINE [(sido]
REFINE [(sido]
REFINE [sido]
REFINE [sido]
-----------END REFINE---------
REFINE [inventada)]
REFINE [inventada)]
REFINE [inventada)]
REFINE [inventada)]
REFINE [inventada]
-----------END REFINE---------
REFINE [(inventada]
REFINE [(inventada]
REFINE [(inventada]
REFINE [(inventada]
REFINE [inventada]
REFINE [inventada]
-----------END REFINE---------
REFINE [palavra)]
REFINE [palavra)]
REFINE [palavra)]
REFINE [palavra)]
REFINE [palavra]
-----------END REFINE---------
REFINE [(palavra]
REFINE [(palavra]
REFINE [(palavra]
REFINE [(palavra]
REFINE [palavra]
REFINE [palavra]
-----------END REFINE---------
REFINE [partir)]
REFINE [partir)]
REFINE [partir)]
REFINE [partir)]
REFINE [partir]
-----------END REFINE---------
REFINE [(prática]
REFINE [(prática]
REFINE [(prática]
REFINE [(prática]
REFINE [prática]
REFINE [prática]
-----------END REFINE---------
REFINE [adotada)]
REFINE [adotada)]
REFINE [adotada)]
REFINE [adotada)]
REFINE [adotada]
-----------END REFINE---------
REFINE [(adotada]
REFINE [(adotada]
REFINE [(adotada]
REFINE [(adotada]
REFINE [adotada]
REFINE [adotada]
-----------END REFINE---------
REFINE [partir)]
REFINE [partir)]
REFINE [partir)]
REFINE [partir)]
REFINE [partir]
-----------END REFINE---------
REFINE [(Lynch]
REFINE [(Lynch]
REFINE [(Lynch]
REFINE [(Lynch]
REFINE [Lynch]
REFINE [Lynch]
-----------END REFINE---------
REFINE [juiz)]
REFINE [juiz)]
REFINE [juiz)]
REFINE [juiz)]
REFINE [juiz]
-----------END REFINE---------
REFINE [(Lynch]
REFINE [(Lynch]
REFINE [(Lynch]
REFINE [(Lynch]
REFINE [Lynch]
REFINE [Lynch]
-----------END REFINE---------
REFINE [um)]
REFINE [um)]
REFINE [um)]
REFINE [um)]
REFINE [um]
-----------END REFINE---------
REFINE [(juiz]
REFINE [(juiz]
REFINE [(juiz]
REFINE [(juiz]
REFINE [juiz]
REFINE [juiz]
-----------END REFINE---------
REFINE [condenar)]
REFINE [condenar)]
REFINE [condenar)]
REFINE [condenar)]
REFINE [condenar]
-----------END REFINE---------
REFINE [(juiz]
REFINE [(juiz]
REFINE [(juiz]
REFINE [(juiz]
REFINE [juiz]
REFINE [juiz]
-----------END REFINE---------
REFINE [executar)]
REFINE [executar)]
REFINE [executar)]
REFINE [executar)]
REFINE [executar]
-----------END REFINE---------
REFINE [(adversários]
REFINE [(adversários]
REFINE [(adversários]
REFINE [(adversários]
REFINE [adversários]
REFINE [adversários]
-----------END REFINE---------
REFINE [execuçãolhe)]
REFINE [execuçãolhe)]
REFINE [execuçãolhe)]
REFINE [execuçãolhe)]
REFINE [execuçãolhe]
-----------END REFINE---------
REFINE [(processo]
REFINE [(processo]
REFINE [(processo]
REFINE [(processo]
REFINE [processo]
REFINE [processo]
-----------END REFINE---------
REFINE [legal)]
REFINE [legal)]
REFINE [legal)]
REFINE [legal)]
REFINE [legal]
-----------END REFINE---------
REFINE [(devido]
REFINE [(devido]
REFINE [(devido]
REFINE [(devido]
REFINE [devido]
REFINE [devido]
-----------END REFINE---------
REFINE [processo)]
REFINE [processo)]
REFINE [processo)]
REFINE [processo)]
REFINE [processo]
-----------END REFINE---------
REFINE [(processo]
REFINE [(processo]
REFINE [(processo]
REFINE [(processo]
REFINE [processo]
REFINE [processo]
-----------END REFINE---------
REFINE [legal)]
REFINE [legal)]
REFINE [legal)]
REFINE [legal)]
REFINE [legal]
-----------END REFINE---------
REFINE [processo)]
REFINE [processo)]
REFINE [processo)]
REFINE [processo)]
REFINE [processo]
-----------END REFINE---------
chatGPT|:|insegurança<@>de<#>poder<@>público<#>público<@>de<#>eram<@>características<#>características<@>sensação<#>características<@>debilidade<#>debilidade<@>de<#>poder<@>público<#>público<@>de<#>final<@>século<#>século<@>de<#>18<@>século<#>18<@>de<#>Estados<@>Unidos<#>Unidos<@>de<#>final<@>18<#>versão<@>segundo<#>versão<@>aceita<#>seu<@>palavra<#>teria<@>sido<#>sido<@>inventada<#>inventada<@>palavra<#>palavra<@>partir<#>prática<@>adotada<#>adotada<@>partir<#>Lynch<@>juiz<#>Lynch<@>um<#>juiz<@>condenar<#>juiz<@>executar<#>adversários<@>execuçãolhe<#>processo<@>legal<#>devido<@>processo<#>processo<@>legal<#>(<@>processo|:|UDA:0.254<#>DDA: 0.079
GoldTree |:|A<@>sensação<@>det<#>sensação<@>características<@>nsubj<#>de<@>insegurança<@>case<#>insegurança<@>sensação<@>nmod<#>e<@>debilidade<@>cc<#>a<@>debilidade<@>det<#>debilidade<@>sensação<@>conj<#>de<@>poder<@>case<#>o<@>poder<@>det<#>poder<@>debilidade<@>nmod<#>público<@>poder<@>amod<#>eram<@>características<@>cop<#>sem<@>dúvida<@>case<#>dúvida<@>características<@>nmod<#>características<@>root<@>root<#>de<@>Estados<@>case<#>os<@>Estados<@>det<#>Estados<@>características<@>nmod<#>Unidos<@>Estados<@>flat<#>de<@>final<@>case<#>o<@>final<@>det<#>final<@>Estados<@>nmod<#>de<@>século<@>case<#>o<@>século<@>det<#>século<@>final<@>nmod<#>18<@>século<@>nummod<#>,<@>características<@>punct<#>quando<@>inventada<@>advmod<#>(<@>versão<@>punct<#>segundo<@>versão<@>case<#>a<@>versão<@>det<#>versão<@>quando<@>obl<#>mais<@>aceita<@>advmod<#>aceita<@>versão<@>acl<#>)<@>versão<@>punct<#>a<@>palavra<@>det<#>palavra<@>inventada<@>nsubj<#>teria<@>inventada<@>aux<#>sido<@>inventada<@>aux<#>inventada<@>características<@>advcl<#>a<@>partir<@>case<#>partir<@>quando<@>obl<#>de<@>prática<@>case<#>a<@>prática<@>det<#>prática<@>partir<@>nmod<#>adotada<@>prática<@>acl<#>por<@>juiz<@>case<#>um<@>juiz<@>det<#>juiz<@>adotada<@>obl<#>Lynch<@>juiz<@>appos<#>,<@>adotada<@>punct<#>de<@>condenar<@>mark<#>condenar<@>prática<@>acl<#>e<@>executar<@>cc<#>executar<@>condenar<@>conj<#>seus<@>adversários<@>det<#>adversários<@>executar<@>obj<#>sem<@>processo<@>case<#>o<@>processo<@>det<#>devido<@>processo<@>amod<#>processo<@>executar<@>obl<#>legal<@>processo<@>amod<#>.<@>características<@>punct
>--<
Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção .
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção .", usando o formato (token dependente -> token cabeça).
REPLY|:|Os -> norte-americanos
norte-americanos -> ficaram
que -> reuniram
se -> reuniram
reuniram -> ficaram
ontem -> reuniram
em -> Câmara
Câmara -> de
de -> Comércio
Comércio -> ficaram
Brasil-Estados -> Comércio
Estados -> Unidos
Unidos -> Comércio
, -> Câmara
em -> São
São -> Paulo
Paulo -> em
, -> ficaram
ficaram -> root
conformados -> ficaram
com -> derrota
a -> derrota
derrota -> conformados
de -> seleção
sua -> seleção
seleção -> derrota
. -> ficaram
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [que]
REFINE [que]
REFINE [que]
REFINE [que]
REFINE [que]
REFINE [que]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [se]
REFINE [se]
REFINE [se]
REFINE [se]
REFINE [se]
REFINE [se]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
REFINE [ontem]
-----------END REFINE---------
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
REFINE [Brasil-Estados]
-----------END REFINE---------
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
REFINE [Estados]
-----------END REFINE---------
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
-----------END REFINE---------
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
REFINE [Unidos]
-----------END REFINE---------
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
-----------END REFINE---------
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [São]
REFINE [São]
REFINE [São]
REFINE [São]
REFINE [São]
-----------END REFINE---------
REFINE [São]
REFINE [São]
REFINE [São]
REFINE [São]
REFINE [São]
REFINE [São]
-----------END REFINE---------
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
-----------END REFINE---------
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
REFINE [Paulo]
-----------END REFINE---------
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
REFINE [em]
-----------END REFINE---------
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
REFINE [,]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [root]
REFINE [root]
REFINE [root]
REFINE [root]
REFINE [root]
-----------END REFINE---------
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
REFINE [com]
REFINE [com]
REFINE [com]
REFINE [com]
REFINE [com]
REFINE [com]
-----------END REFINE---------
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
REFINE [a]
-----------END REFINE---------
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
REFINE [conformados]
-----------END REFINE---------
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
REFINE [de]
-----------END REFINE---------
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
-----------END REFINE---------
REFINE [sua]
REFINE [sua]
REFINE [sua]
REFINE [sua]
REFINE [sua]
REFINE [sua]
-----------END REFINE---------
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
-----------END REFINE---------
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
REFINE [seleção]
-----------END REFINE---------
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
REFINE [derrota]
-----------END REFINE---------
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
REFINE [.]
-----------END REFINE---------
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
REFINE [ficaram]
-----------END REFINE---------
chatGPT|:|norte-americanos<@>ficaram<#>que<@>reuniram<#>se<@>reuniram<#>reuniram<@>ficaram<#>ontem<@>reuniram<#>em<@>Câmara<#>Câmara<@>de<#>de<@>Comércio<#>Comércio<@>ficaram<#>Brasil-Estados<@>Comércio<#>Estados<@>Unidos<#>Unidos<@>Comércio<#>,<@>Câmara<#>em<@>São<#>São<@>Paulo<#>Paulo<@>em<#>,<@>ficaram<#>ficaram<@>root<#>conformados<@>ficaram<#>com<@>derrota<#>a<@>derrota<#>derrota<@>conformados<#>de<@>seleção<#>sua<@>seleção<#>seleção<@>derrota<#>.<@>ficaram|:|UDA:0.667<#>DDA: 0.630
GoldTree |:|Os<@>norte-americanos<@>det<#>norte-americanos<@>ficaram<@>nsubj<#>que<@>reuniram<@>nsubj<#>se<@>reuniram<@>expl<#>reuniram<@>norte-americanos<@>acl<#>ontem<@>reuniram<@>advmod<#>em<@>Câmara<@>case<#>a<@>Câmara<@>det<#>Câmara<@>reuniram<@>obl<#>de<@>Comércio<@>case<#>Comércio<@>Câmara<@>nmod<#>Brasil-Estados<@>Comércio<@>flat<#>Unidos<@>Comércio<@>flat<#>,<@>reuniram<@>punct<#>em<@>São<@>case<#>São<@>reuniram<@>obl<#>Paulo<@>São<@>flat<#>,<@>reuniram<@>punct<#>ficaram<@>root<@>root<#>conformados<@>ficaram<@>xcomp<#>com<@>derrota<@>case<#>a<@>derrota<@>det<#>derrota<@>ficaram<@>obl<#>de<@>seleção<@>case<#>sua<@>seleção<@>det<#>seleção<@>derrota<@>nmod<#>.<@>ficaram<@>punct
>--<
Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção . Folha -- Como você recebeu a notícia de que seria substituído ?
MESSAGE|:|Na sentença "A",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(todos -> adversários)
(os -> adversários)
(adversários -> eliminados)
(de -> tótó)
(tótó -> adversários)
(foram -> eliminados)
(eliminados -> root)
(. -> eliminados)Na sentença "s",  as relações de dependência sintática são mostradas abaixo no formato (token dependente -> token cabeça),
(assessores -> têm)
(de -> equipe)
(a -> equipe)
(equipe -> assessores)
(econômica -> equipe)
(já -> têm)
(têm -> root)
(pronta -> têm)
(parte -> têm)
(de -> argumentação)
(a -> argumentação)
(argumentação -> parte)
(. -> têm)..
Liste as relações de dependência sintática na sentença "Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos , em São Paulo , ficaram conformados com a derrota de sua seleção . Folha -- Como você recebeu a notícia de que seria substituído ?", usando o formato (token dependente -> token cabeça).
REPLY|:|As relações de dependência sintática na sentença "Os norte-americanos que se reuniram ontem em a Câmara de Comércio Brasil-Estados Unidos, em São Paulo, ficaram conformados com a derrota de sua seleção. Folha -- Como você recebeu a notícia de que seria substituído?" são:

(norte-americanos -> Os)
(reuniram -> norte-americanos)
(Câmara -> em)
(Comércio -> Câmara)
(Brasil-Estados -> Comércio)
(Unidos -> Brasil-Estados)
(em -> reuniram)
(Paulo -> São)
(São -> em)
(ficaram -> reuniram)
(conformados -> ficaram)
(derrota -> com)
(seleção -> derrota)
(sua -> seleção)
(recebeu -> Como)
(notícia -> recebeu)
(seria -> que)
(substituído -> seria)
(Folha -> .)
(que -> receber)
(. -> substituído)
REFINE [(norte-americanos]
REFINE [(norte-americanos]
REFINE [(norte-americanos]
REFINE [(norte-americanos]
REFINE [norte-americanos]
REFINE [norte-americanos]
-----------END REFINE---------
REFINE [Os)]
REFINE [Os)]
REFINE [Os)]
REFINE [Os)]
REFINE [Os]
-----------END REFINE---------
REFINE [(reuniram]
REFINE [(reuniram]
REFINE [(reuniram]
REFINE [(reuniram]
REFINE [reuniram]
REFINE [reuniram]
-----------END REFINE---------
REFINE [norte-americanos)]
REFINE [norte-americanos)]
REFINE [norte-americanos)]
REFINE [norte-americanos)]
REFINE [norte-americanos]
-----------END REFINE---------
REFINE [(Câmara]
REFINE [(Câmara]
REFINE [(Câmara]
REFINE [(Câmara]
REFINE [Câmara]
REFINE [Câmara]
-----------END REFINE---------
REFINE [em)]
REFINE [em)]
REFINE [em)]
REFINE [em)]
REFINE [em]
-----------END REFINE---------
REFINE [(Comércio]
REFINE [(Comércio]
REFINE [(Comércio]
REFINE [(Comércio]
REFINE [Comércio]
REFINE [Comércio]
-----------END REFINE---------
REFINE [Câmara)]
REFINE [Câmara)]
REFINE [Câmara)]
REFINE [Câmara)]
REFINE [Câmara]
-----------END REFINE---------
REFINE [(Brasil-Estados]
REFINE [(Brasil-Estados]
